0,6
1,7
2,8
3,9
4,10
5,11
6,0
6,12
7,1
7,13
8,2
8,14
9,3
9,15
10,4
10,16
11,5
11,17
12,6
12,18
13,7
13,19
14,8
14,20
15,9
15,21
16,10
16,22
17,11
17,23
18,12
18,38
19,13
19,40
20,14
20,42
21,15
21,44
22,16
22,46
23,17
23,48
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,36
34,36
35,34
36,37
37,18
37,38
38,39
39,19
39,40
40,19
40,41
41,20
41,42
42,20
42,43
43,21
43,44
44,21
44,45
45,44
45,22
45,46
46,22
46,47
47,23
47,48
48,23
48,49
49,48
49,50
50,51
51,52
52,53
53,58
58,54
54,55
55,56
56,57
57,61
59,24
60,35
